months,temperatures,relative_humidity,precipitation,solar_radiation,crop_water,irrigation_water
January,5.1,58,54.0,4.67,5.631515761310325,-48.368484238689675
February,7.8,59,42.0,4.67,5.61382136227878,-36.38617863772122
March,13.9,50,41.1,7.62,9.885098122749332,-31.214901877250668
April,30.2,41,18.7,7.62,10.473842758310365,-8.226157241689634
May,25.4,30,2.2,7.62,10.860950389691972,8.660950389691973
June,30.0,23,0.0,8.95,13.145444356113067,13.145444356113067
July,31.9,25,2.3,8.95,13.095746989043375,10.795746989043376
August,29.4,25,1.0,8.95,13.062823875384613,12.062823875384613
September,23.5,24,0.0,6.14,8.8385472256655,8.8385472256655
October,17.5,29,2.3,6.14,8.651052332088993,6.351052332088993
November,11.0,40,7.0,6.14,8.25203670677912,1.2520367067791192
December,7.3,52,20.0,4.67,5.838244403533205,-14.161755596466795
